transaction_id,bill_id,date,store_id,store_location,customer_id,customer_segment,product_id,product_category,product_name,quantity,unit_price,payment_method,discount_applied,channel
TXN-2025-0001,BILL-1001,22-02-2025,S1,Downtown,C058,Regular,P101,Beverages,Orange Juice 1L,5,3.48,UPI,0,In-store
TXN-2025-0002,BILL-1001,30-04-2025,S5,West End,C008,Regular,P102,Beverages,Organic Green Tea 250ml,5,1.88,UPI,0.76,In-store
TXN-2025-0003,BILL-1001,23-04-2025,S1,Downtown,C180,Regular,P501,Bakery,Whole Wheat Bread,5,1.48,Cash,0.04,In-store
TXN-2025-0004,BILL-1001,24-06-2025,S3,Suburban,C041,New,P701,Frozen,Frozen Pizza,3,4.73,Cash,0.08,Online
TXN-2025-0005,BILL-1001,26-06-2025,S2,Uptown,C098,Regular,P701,Frozen,Frozen Pizza,6,4.51,Credit Card,1.15,In-store
TXN-2025-0006,BILL-1001,31-05-2025,S1,Downtown,C097,Regular,P602,Dairy,Cheddar Cheese 200g,1,2.99,Credit Card,0,In-store
TXN-2025-0007,BILL-1001,27-04-2025,S5,West End,C181,Regular,P801,Produce,Bananas (1kg),2,1.39,Credit Card,0.06,In-store
TXN-2025-0008,BILL-1001,22-11-2025,S1,Downtown,C098,Regular,P801,Produce,Bananas (1kg),2,1.47,Cash,0.59,Online
TXN-2025-0009,BILL-1002,28-11-2025,S2,Uptown,C069,New,P302,Personal Care,Toothpaste 100g,1,1.82,Credit Card,0.02,In-store
TXN-2025-0010,BILL-1002,24-11-2025,S2,Uptown,C119,Regular,P501,Bakery,Whole Wheat Bread,2,1.39,UPI,1.26,In-store
TXN-2025-0011,BILL-1002,17-01-2025,S2,Uptown,C199,Regular,P601,Dairy,Milk 1L,4,1.06,Credit Card,1.4,Online
TXN-2025-0012,BILL-1003,11-06-2025,S4,East Side,C146,Loyal,P301,Personal Care,Shampoo 250ml,1,3.77,Cash,0.8,In-store
TXN-2025-0013,BILL-1003,15-10-2025,S4,East Side,C068,Regular,P401,Household,Laundry Detergent 1kg,5,6.27,UPI,0.14,In-store
TXN-2025-0014,BILL-1003,12-03-2025,S5,West End,C057,Loyal,P401,Household,Laundry Detergent 1kg,2,6.19,UPI,1.72,In-store
TXN-2025-0015,BILL-1003,05-08-2025,S1,Downtown,C040,New,P701,Frozen,Frozen Pizza,1,4.73,Cash,0.67,Online
TXN-2025-0016,BILL-1003,11-10-2025,S4,East Side,C136,Regular,P401,Household,Laundry Detergent 1kg,5,7.35,UPI,1.21,Online
TXN-2025-0017,BILL-1003,25-11-2025,S1,Downtown,C138,New,P601,Dairy,Milk 1L,6,1.15,UPI,0.71,In-store
TXN-2025-0018,BILL-1003,15-05-2025,S3,Suburban,C185,Loyal,P401,Household,Laundry Detergent 1kg,6,6.8,Cash,1.81,In-store
TXN-2025-0019,BILL-1003,17-09-2025,S2,Uptown,C077,New,P501,Bakery,Whole Wheat Bread,6,1.46,Cash,0,Online
TXN-2025-0020,BILL-1003,01-01-2025,S2,Uptown,C200,Loyal,P302,Personal Care,Toothpaste 100g,6,1.63,Cash,0.09,In-store
TXN-2025-0021,BILL-1003,04-05-2025,S4,East Side,C079,Regular,P101,Beverages,Orange Juice 1L,5,3.83,Cash,1.32,Online
TXN-2025-0022,BILL-1003,30-09-2025,S1,Downtown,C018,Loyal,P102,Beverages,Organic Green Tea 250ml,2,2.19,UPI,1.25,In-store
TXN-2025-0023,BILL-1003,07-11-2025,S2,Uptown,C043,Regular,P601,Dairy,Milk 1L,6,1.24,Credit Card,0,Online
TXN-2025-0024,BILL-1003,29-11-2025,S2,Uptown,C183,Regular,P501,Bakery,Whole Wheat Bread,5,1.49,UPI,0.41,In-store
TXN-2025-0025,BILL-1003,29-10-2025,S5,West End,C017,Regular,P402,Household,Dishwash Liquid 500ml,5,2.99,Cash,0.87,In-store
TXN-2025-0026,BILL-1003,04-02-2025,S5,West End,C162,Regular,P202,Snacks,Salted Nuts 100g,1,2.49,Cash,0,In-store
TXN-2025-0027,BILL-1004,04-10-2025,S3,Suburban,C172,Regular,P102,Beverages,Organic Green Tea 250ml,4,2.18,UPI,0.47,In-store
TXN-2025-0028,BILL-1005,08-04-2025,S5,West End,C122,New,P502,Bakery,Croissant,1,0.93,Credit Card,1.75,In-store
TXN-2025-0029,BILL-1006,27-11-2025,S4,East Side,C187,Regular,P302,Personal Care,Toothpaste 100g,4,1.63,Credit Card,2.61,In-store
TXN-2025-0030,BILL-1006,08-04-2025,S4,East Side,C028,Regular,P602,Dairy,Cheddar Cheese 200g,2,3.44,Credit Card,0,Online
TXN-2025-0031,BILL-1006,08-02-2025,S2,Uptown,C064,Loyal,P401,Household,Laundry Detergent 1kg,2,6.26,Cash,0.61,In-store
TXN-2025-0032,BILL-1006,17-02-2025,S5,West End,C139,New,P102,Beverages,Organic Green Tea 250ml,1,2.15,Cash,0.99,In-store
TXN-2025-0033,BILL-1007,31-01-2025,S2,Uptown,C055,Loyal,P201,Snacks,Potato Chips 150g,6,1.27,Credit Card,0.42,In-store
TXN-2025-0034,BILL-1007,12-10-2025,S1,Downtown,C117,Regular,P401,Household,Laundry Detergent 1kg,2,6.2,Credit Card,0,Online
TXN-2025-0035,BILL-1008,05-10-2025,S4,East Side,C015,Regular,P201,Snacks,Potato Chips 150g,4,1.35,Cash,0.25,In-store
TXN-2025-0036,BILL-1009,29-09-2025,S3,Suburban,C129,Loyal,P101,Beverages,Orange Juice 1L,6,3.25,Cash,1.04,In-store
TXN-2025-0037,BILL-1009,01-05-2025,S5,West End,C018,New,P102,Beverages,Organic Green Tea 250ml,6,2.12,Cash,0.74,In-store
TXN-2025-0038,BILL-1009,26-10-2025,S5,West End,C159,Regular,P202,Snacks,Salted Nuts 100g,5,2.25,UPI,0.71,In-store
TXN-2025-0039,BILL-1010,22-07-2025,S3,Suburban,C081,Regular,P301,Personal Care,Shampoo 250ml,2,4.13,Cash,0,In-store
TXN-2025-0040,BILL-1010,15-11-2025,S3,Suburban,C019,Regular,P402,Household,Dishwash Liquid 500ml,3,2.69,Credit Card,1.23,Online
TXN-2025-0041,BILL-1010,28-06-2025,S1,Downtown,C068,Regular,P102,Beverages,Organic Green Tea 250ml,5,1.91,UPI,0,In-store
TXN-2025-0042,BILL-1010,10-11-2025,S2,Uptown,C140,New,P302,Personal Care,Toothpaste 100g,2,2.06,Credit Card,1.62,In-store
TXN-2025-0043,BILL-1010,23-02-2025,S5,West End,C077,Loyal,P101,Beverages,Orange Juice 1L,4,3.37,UPI,0,Online
TXN-2025-0044,BILL-1010,20-05-2025,S2,Uptown,C191,Regular,P301,Personal Care,Shampoo 250ml,1,3.88,Cash,0.48,Online
TXN-2025-0045,BILL-1010,16-09-2025,S2,Uptown,C163,Loyal,P602,Dairy,Cheddar Cheese 200g,1,3.09,Credit Card,0,In-store
TXN-2025-0046,BILL-1010,20-06-2025,S1,Downtown,C071,Regular,P102,Beverages,Organic Green Tea 250ml,1,1.94,UPI,0.5,In-store
TXN-2025-0047,BILL-1011,05-01-2025,S3,Suburban,C181,Regular,P201,Snacks,Potato Chips 150g,1,1.27,UPI,0,In-store
TXN-2025-0048,BILL-1012,09-08-2025,S2,Uptown,C150,Regular,P501,Bakery,Whole Wheat Bread,4,1.56,Cash,1.68,Online
TXN-2025-0049,BILL-1012,22-02-2025,S3,Suburban,C054,New,P302,Personal Care,Toothpaste 100g,5,1.92,Cash,1.13,Online
TXN-2025-0050,BILL-1012,02-05-2025,S5,West End,C192,Regular,P801,Produce,Bananas (1kg),2,1.39,Credit Card,0,Online
TXN-2025-0051,BILL-1012,30-07-2025,S2,Uptown,C086,New,P401,Household,Laundry Detergent 1kg,3,7.45,Cash,0,In-store
TXN-2025-0052,BILL-1012,20-01-2025,S2,Uptown,C028,Regular,P301,Personal Care,Shampoo 250ml,3,4.44,Cash,0.56,Online
TXN-2025-0053,BILL-1012,09-04-2025,S2,Uptown,C059,Regular,P202,Snacks,Salted Nuts 100g,1,2.68,Credit Card,1.87,In-store
TXN-2025-0054,BILL-1012,18-09-2025,S3,Suburban,C072,Regular,P801,Produce,Bananas (1kg),1,1.27,Cash,1.2,Online
TXN-2025-0055,BILL-1013,16-05-2025,S5,West End,C067,Regular,P302,Personal Care,Toothpaste 100g,2,1.98,Cash,0,In-store
TXN-2025-0056,BILL-1014,19-09-2025,S5,West End,C081,Regular,P401,Household,Laundry Detergent 1kg,4,6.97,Credit Card,0.88,In-store
TXN-2025-0057,BILL-1014,03-10-2025,S5,West End,C112,Regular,P202,Snacks,Salted Nuts 100g,1,2.84,Credit Card,1.44,In-store
TXN-2025-0058,BILL-1014,16-11-2025,S2,Uptown,C171,Loyal,P302,Personal Care,Toothpaste 100g,1,1.71,Credit Card,1.2,In-store
TXN-2025-0059,BILL-1014,26-07-2025,S1,Downtown,C171,Regular,P602,Dairy,Cheddar Cheese 200g,6,3.06,Credit Card,0,In-store
TXN-2025-0060,BILL-1014,31-03-2025,S5,West End,C098,New,P201,Snacks,Potato Chips 150g,2,1.38,Cash,0.6,In-store
TXN-2025-0061,BILL-1014,09-08-2025,S3,Suburban,C078,Regular,P401,Household,Laundry Detergent 1kg,4,7.31,UPI,0,Online
TXN-2025-0062,BILL-1014,19-09-2025,S5,West End,C114,New,P601,Dairy,Milk 1L,1,1.19,Credit Card,0,In-store
TXN-2025-0063,BILL-1015,21-06-2025,S2,Uptown,C170,New,P601,Dairy,Milk 1L,3,1.23,Cash,0.99,In-store
TXN-2025-0064,BILL-1016,24-01-2025,S2,Uptown,C051,Regular,P601,Dairy,Milk 1L,5,1.01,Credit Card,1.47,In-store
TXN-2025-0065,BILL-1016,16-07-2025,S4,East Side,C162,Regular,P502,Bakery,Croissant,5,0.99,Cash,0.73,In-store
TXN-2025-0066,BILL-1016,24-02-2025,S2,Uptown,C193,Loyal,P201,Snacks,Potato Chips 150g,1,1.08,UPI,0,In-store
TXN-2025-0067,BILL-1016,04-03-2025,S2,Uptown,C013,Regular,P201,Snacks,Potato Chips 150g,1,1.23,UPI,0,In-store
TXN-2025-0068,BILL-1016,15-08-2025,S4,East Side,C153,Regular,P601,Dairy,Milk 1L,1,1.19,UPI,1.03,Online
TXN-2025-0069,BILL-1016,01-09-2025,S5,West End,C041,New,P401,Household,Laundry Detergent 1kg,2,6.65,UPI,1.57,In-store
TXN-2025-0070,BILL-1017,17-11-2025,S2,Uptown,C200,Regular,P801,Produce,Bananas (1kg),1,1.51,UPI,0,In-store
TXN-2025-0071,BILL-1018,04-10-2025,S4,East Side,C070,Regular,P102,Beverages,Organic Green Tea 250ml,1,2.07,UPI,0,In-store
TXN-2025-0072,BILL-1018,01-08-2025,S2,Uptown,C181,Regular,P202,Snacks,Salted Nuts 100g,3,2.62,Credit Card,1.08,In-store
TXN-2025-0073,BILL-1018,27-10-2025,S5,West End,C108,Regular,P402,Household,Dishwash Liquid 500ml,3,2.8,Credit Card,0.39,In-store
TXN-2025-0074,BILL-1018,02-06-2025,S1,Downtown,C002,Loyal,P801,Produce,Bananas (1kg),1,1.38,UPI,1.2,In-store
TXN-2025-0075,BILL-1019,07-09-2025,S4,East Side,C155,Loyal,P501,Bakery,Whole Wheat Bread,1,1.57,UPI,1,In-store
TXN-2025-0076,BILL-1019,27-07-2025,S4,East Side,C172,New,P402,Household,Dishwash Liquid 500ml,1,2.72,Cash,0,In-store
TXN-2025-0077,BILL-1020,14-01-2025,S4,East Side,C101,Regular,P201,Snacks,Potato Chips 150g,1,1.31,UPI,0.49,In-store
TXN-2025-0078,BILL-1020,19-04-2025,S4,East Side,C067,Regular,P201,Snacks,Potato Chips 150g,3,1.16,Credit Card,0.65,In-store
TXN-2025-0079,BILL-1020,11-02-2025,S3,Suburban,C108,Regular,P701,Frozen,Frozen Pizza,6,4.96,Credit Card,0.4,In-store
TXN-2025-0080,BILL-1021,30-11-2025,S5,West End,C018,New,P101,Beverages,Orange Juice 1L,1,3.63,Credit Card,0.77,In-store
TXN-2025-0081,BILL-1021,06-03-2025,S1,Downtown,C160,Regular,P202,Snacks,Salted Nuts 100g,2,2.86,Cash,0,Online
TXN-2025-0082,BILL-1021,27-03-2025,S1,Downtown,C066,New,P502,Bakery,Croissant,1,1,Cash,0,In-store
TXN-2025-0083,BILL-1021,09-06-2025,S1,Downtown,C028,Regular,P701,Frozen,Frozen Pizza,6,4.71,Cash,1.38,Online
TXN-2025-0084,BILL-1022,18-11-2025,S4,East Side,C152,New,P401,Household,Laundry Detergent 1kg,5,7.36,UPI,0.23,In-store
TXN-2025-0085,BILL-1022,17-10-2025,S3,Suburban,C031,New,P801,Produce,Bananas (1kg),3,1.33,UPI,0,In-store
TXN-2025-0086,BILL-1023,24-06-2025,S3,Suburban,C018,Regular,P501,Bakery,Whole Wheat Bread,1,1.46,Credit Card,0,In-store
TXN-2025-0087,BILL-1023,24-08-2025,S4,East Side,C093,New,P801,Produce,Bananas (1kg),6,1.56,Credit Card,0,In-store
TXN-2025-0088,BILL-1023,03-10-2025,S4,East Side,C167,Regular,P201,Snacks,Potato Chips 150g,4,1.17,UPI,1.61,In-store
TXN-2025-0089,BILL-1023,14-02-2025,S4,East Side,C083,Loyal,P401,Household,Laundry Detergent 1kg,1,6.53,UPI,0.91,In-store
TXN-2025-0090,BILL-1023,15-01-2025,S4,East Side,C172,Regular,P202,Snacks,Salted Nuts 100g,1,2.75,Credit Card,3.58,In-store
TXN-2025-0091,BILL-1023,02-11-2025,S3,Suburban,C067,Regular,P201,Snacks,Potato Chips 150g,1,1.1,Credit Card,0,In-store
TXN-2025-0092,BILL-1023,28-07-2025,S3,Suburban,C049,Regular,P501,Bakery,Whole Wheat Bread,4,1.39,Cash,0,In-store
TXN-2025-0093,BILL-1024,09-01-2025,S2,Uptown,C126,Regular,P602,Dairy,Cheddar Cheese 200g,1,3.42,Credit Card,2.35,In-store
TXN-2025-0094,BILL-1024,31-08-2025,S2,Uptown,C170,Regular,P401,Household,Laundry Detergent 1kg,3,6.32,UPI,0,In-store
TXN-2025-0095,BILL-1024,19-05-2025,S3,Suburban,C091,New,P401,Household,Laundry Detergent 1kg,3,6.26,UPI,0.78,In-store
TXN-2025-0096,BILL-1025,05-04-2025,S2,Uptown,C031,New,P102,Beverages,Organic Green Tea 250ml,5,1.96,UPI,0,In-store
TXN-2025-0097,BILL-1025,25-05-2025,S4,East Side,C195,Regular,P301,Personal Care,Shampoo 250ml,2,4.37,UPI,1.47,In-store
TXN-2025-0098,BILL-1026,01-10-2025,S2,Uptown,C078,Regular,P301,Personal Care,Shampoo 250ml,1,3.79,Cash,0.38,In-store
TXN-2025-0099,BILL-1027,09-09-2025,S1,Downtown,C033,New,P101,Beverages,Orange Juice 1L,2,3.71,UPI,0,In-store
TXN-2025-0100,BILL-1027,27-01-2025,S1,Downtown,C113,Regular,P502,Bakery,Croissant,2,0.98,Credit Card,0,In-store
TXN-2025-0101,BILL-1028,28-01-2025,S4,East Side,C019,Regular,P102,Beverages,Organic Green Tea 250ml,4,1.89,Cash,1.93,In-store
TXN-2025-0102,BILL-1028,02-08-2025,S5,West End,C031,Regular,P301,Personal Care,Shampoo 250ml,1,3.66,Cash,0,Online
TXN-2025-0103,BILL-1028,29-10-2025,S5,West End,C114,Regular,P202,Snacks,Salted Nuts 100g,3,2.53,UPI,1.26,In-store
TXN-2025-0104,BILL-1028,17-04-2025,S3,Suburban,C190,Regular,P502,Bakery,Croissant,4,0.87,UPI,1.51,In-store
TXN-2025-0105,BILL-1029,22-03-2025,S3,Suburban,C045,Regular,P601,Dairy,Milk 1L,2,1.17,Cash,0,In-store
TXN-2025-0106,BILL-1029,25-05-2025,S4,East Side,C009,Regular,P602,Dairy,Cheddar Cheese 200g,1,3.08,UPI,1.97,In-store
TXN-2025-0107,BILL-1029,17-11-2025,S4,East Side,C068,New,P102,Beverages,Organic Green Tea 250ml,6,2.18,UPI,0,In-store
TXN-2025-0108,BILL-1029,17-05-2025,S2,Uptown,C166,Regular,P401,Household,Laundry Detergent 1kg,2,6,Cash,0.29,In-store
TXN-2025-0109,BILL-1029,19-10-2025,S1,Downtown,C153,New,P101,Beverages,Orange Juice 1L,2,3.3,Cash,0,Online
TXN-2025-0110,BILL-1029,20-05-2025,S4,East Side,C180,Regular,P102,Beverages,Organic Green Tea 250ml,4,2.02,Credit Card,0.42,In-store
TXN-2025-0111,BILL-1029,06-11-2025,S4,East Side,C111,New,P402,Household,Dishwash Liquid 500ml,3,2.55,Cash,0.15,In-store
TXN-2025-0112,BILL-1029,11-01-2025,S1,Downtown,C148,Regular,P202,Snacks,Salted Nuts 100g,1,2.48,UPI,0.6,Online
TXN-2025-0113,BILL-1029,30-11-2025,S3,Suburban,C045,Regular,P502,Bakery,Croissant,1,0.92,Cash,2.05,Online
TXN-2025-0114,BILL-1029,29-08-2025,S3,Suburban,C126,Loyal,P201,Snacks,Potato Chips 150g,4,1.26,UPI,0.83,In-store
TXN-2025-0115,BILL-1029,11-09-2025,S3,Suburban,C042,Regular,P302,Personal Care,Toothpaste 100g,2,2.04,UPI,0,In-store
TXN-2025-0116,BILL-1030,15-06-2025,S4,East Side,C023,Regular,P801,Produce,Bananas (1kg),1,1.49,UPI,1.52,In-store
TXN-2025-0117,BILL-1030,05-10-2025,S4,East Side,C001,New,P801,Produce,Bananas (1kg),2,1.54,UPI,1.41,Online
TXN-2025-0118,BILL-1030,15-08-2025,S1,Downtown,C194,Regular,P202,Snacks,Salted Nuts 100g,1,2.66,UPI,0.86,In-store
TXN-2025-0119,BILL-1031,06-09-2025,S2,Uptown,C074,Regular,P301,Personal Care,Shampoo 250ml,1,3.64,UPI,0.11,In-store
TXN-2025-0120,BILL-1031,10-10-2025,S5,West End,C080,Regular,P701,Frozen,Frozen Pizza,1,4.9,Cash,0.67,In-store
TXN-2025-0121,BILL-1031,20-03-2025,S2,Uptown,C031,New,P801,Produce,Bananas (1kg),4,1.35,Cash,0.79,In-store
TXN-2025-0122,BILL-1031,05-05-2025,S3,Suburban,C124,Loyal,P501,Bakery,Whole Wheat Bread,5,1.59,UPI,0,In-store
TXN-2025-0123,BILL-1031,11-03-2025,S2,Uptown,C131,New,P401,Household,Laundry Detergent 1kg,2,7.04,Cash,0.54,Online
TXN-2025-0124,BILL-1031,02-01-2025,S3,Suburban,C130,Regular,P701,Frozen,Frozen Pizza,5,5.03,Credit Card,0.9,In-store
TXN-2025-0125,BILL-1031,18-03-2025,S3,Suburban,C169,Regular,P801,Produce,Bananas (1kg),1,1.54,UPI,0.01,In-store
TXN-2025-0126,BILL-1031,14-06-2025,S4,East Side,C140,Regular,P302,Personal Care,Toothpaste 100g,5,1.73,Credit Card,0.81,In-store
TXN-2025-0127,BILL-1031,12-06-2025,S2,Uptown,C199,Regular,P502,Bakery,Croissant,2,1.01,Credit Card,1.11,In-store
TXN-2025-0128,BILL-1031,11-09-2025,S4,East Side,C167,Loyal,P401,Household,Laundry Detergent 1kg,1,7.05,UPI,0,Online
TXN-2025-0129,BILL-1032,14-08-2025,S2,Uptown,C026,Loyal,P501,Bakery,Whole Wheat Bread,1,1.39,UPI,0.24,In-store
TXN-2025-0130,BILL-1032,08-02-2025,S4,East Side,C168,Loyal,P101,Beverages,Orange Juice 1L,1,3.49,UPI,3.1,In-store
TXN-2025-0131,BILL-1032,18-06-2025,S3,Suburban,C167,Regular,P302,Personal Care,Toothpaste 100g,6,1.8,UPI,0.17,In-store
TXN-2025-0132,BILL-1033,05-10-2025,S5,West End,C195,Regular,P401,Household,Laundry Detergent 1kg,2,7.4,Credit Card,1.29,In-store
TXN-2025-0133,BILL-1033,16-02-2025,S1,Downtown,C074,Loyal,P202,Snacks,Salted Nuts 100g,2,2.61,UPI,0.66,In-store
TXN-2025-0134,BILL-1033,03-06-2025,S1,Downtown,C026,Regular,P701,Frozen,Frozen Pizza,2,5.19,UPI,0,In-store
TXN-2025-0135,BILL-1033,06-05-2025,S1,Downtown,C096,Regular,P302,Personal Care,Toothpaste 100g,4,1.96,Cash,0.23,In-store
TXN-2025-0136,BILL-1033,15-07-2025,S5,West End,C021,New,P601,Dairy,Milk 1L,4,1.25,Cash,0.7,In-store
TXN-2025-0137,BILL-1033,24-08-2025,S2,Uptown,C119,New,P402,Household,Dishwash Liquid 500ml,2,3.22,UPI,0.76,In-store
TXN-2025-0138,BILL-1033,07-02-2025,S1,Downtown,C174,Regular,P701,Frozen,Frozen Pizza,6,5.38,Credit Card,1.84,Online
TXN-2025-0139,BILL-1033,22-08-2025,S3,Suburban,C109,New,P502,Bakery,Croissant,1,0.98,Credit Card,0.15,In-store
TXN-2025-0140,BILL-1033,22-10-2025,S2,Uptown,C098,Regular,P401,Household,Laundry Detergent 1kg,1,7.19,Credit Card,0.66,In-store
TXN-2025-0141,BILL-1033,26-01-2025,S3,Suburban,C003,Regular,P101,Beverages,Orange Juice 1L,2,3.22,UPI,0.86,In-store
TXN-2025-0142,BILL-1034,30-06-2025,S4,East Side,C059,New,P801,Produce,Bananas (1kg),3,1.56,Credit Card,0,Online
TXN-2025-0143,BILL-1034,12-03-2025,S2,Uptown,C185,New,P502,Bakery,Croissant,4,0.99,Credit Card,0,In-store
TXN-2025-0144,BILL-1034,16-02-2025,S1,Downtown,C094,New,P301,Personal Care,Shampoo 250ml,3,4.38,Credit Card,0.33,In-store
TXN-2025-0145,BILL-1034,07-07-2025,S3,Suburban,C034,New,P602,Dairy,Cheddar Cheese 200g,1,3.44,Credit Card,0.48,In-store
TXN-2025-0146,BILL-1034,01-06-2025,S3,Suburban,C124,Loyal,P801,Produce,Bananas (1kg),2,1.26,Cash,0,In-store
TXN-2025-0147,BILL-1034,26-04-2025,S3,Suburban,C020,Regular,P701,Frozen,Frozen Pizza,6,4.65,Cash,1.17,In-store
TXN-2025-0148,BILL-1035,02-10-2025,S4,East Side,C102,Regular,P801,Produce,Bananas (1kg),6,1.34,UPI,1.41,In-store
TXN-2025-0149,BILL-1035,23-11-2025,S3,Suburban,C150,Regular,P601,Dairy,Milk 1L,1,1.09,UPI,0.55,In-store
TXN-2025-0150,BILL-1035,15-10-2025,S1,Downtown,C159,Loyal,P601,Dairy,Milk 1L,2,1.11,Cash,0,In-store
TXN-2025-0151,BILL-1035,04-06-2025,S5,West End,C119,Loyal,P202,Snacks,Salted Nuts 100g,2,2.28,UPI,0.88,In-store
TXN-2025-0152,BILL-1036,01-03-2025,S1,Downtown,C078,Loyal,P201,Snacks,Potato Chips 150g,6,1.24,Cash,0.54,Online
TXN-2025-0153,BILL-1036,04-10-2025,S5,West End,C172,Loyal,P201,Snacks,Potato Chips 150g,1,1.15,Credit Card,1.46,In-store
TXN-2025-0154,BILL-1037,24-05-2025,S2,Uptown,C126,New,P401,Household,Laundry Detergent 1kg,6,7.31,UPI,1.95,In-store
TXN-2025-0155,BILL-1037,20-02-2025,S3,Suburban,C061,Loyal,P202,Snacks,Salted Nuts 100g,5,2.82,Credit Card,0,In-store
TXN-2025-0156,BILL-1037,04-03-2025,S3,Suburban,C102,Regular,P501,Bakery,Whole Wheat Bread,2,1.48,UPI,0.31,In-store
TXN-2025-0157,BILL-1038,11-01-2025,S4,East Side,C164,Regular,P102,Beverages,Organic Green Tea 250ml,1,2.03,UPI,0,In-store
TXN-2025-0158,BILL-1039,11-10-2025,S3,Suburban,C053,Regular,P202,Snacks,Salted Nuts 100g,3,2.41,Cash,0,Online
TXN-2025-0159,BILL-1040,02-11-2025,S2,Uptown,C038,New,P801,Produce,Bananas (1kg),6,1.27,Cash,1.26,In-store
TXN-2025-0160,BILL-1041,14-01-2025,S2,Uptown,C045,Regular,P201,Snacks,Potato Chips 150g,1,1.29,UPI,0.04,In-store
TXN-2025-0161,BILL-1042,27-01-2025,S3,Suburban,C005,Regular,P701,Frozen,Frozen Pizza,1,5.53,Cash,1.85,In-store
TXN-2025-0162,BILL-1042,05-07-2025,S4,East Side,C122,Regular,P501,Bakery,Whole Wheat Bread,5,1.69,Cash,0,In-store
TXN-2025-0163,BILL-1042,24-09-2025,S1,Downtown,C158,Regular,P402,Household,Dishwash Liquid 500ml,2,3.13,UPI,0.44,In-store
TXN-2025-0164,BILL-1042,09-09-2025,S1,Downtown,C110,New,P101,Beverages,Orange Juice 1L,1,3.86,Credit Card,0.27,Online
TXN-2025-0165,BILL-1042,21-05-2025,S4,East Side,C038,Regular,P102,Beverages,Organic Green Tea 250ml,6,1.99,Cash,0.41,In-store
